iter	Passed	Remaining
0	148	148474
1	150	75138
2	152	50686
3	155	38822
4	158	31520
5	160	26579
6	162	23018
7	164	20347
8	165	18265
9	167	16594
10	172	15500
11	174	14377
12	176	13392
13	178	12549
14	180	11820
15	181	11179
16	186	10765
17	188	10263
18	190	9814
19	191	9405
20	194	9055
21	196	8729
22	199	8492
23	202	8216
24	203	7955
25	205	7708
26	207	7477
27	209	7263
28	211	7065
29	214	6928
30	216	6762
31	218	6603
32	220	6458
33	222	6318
34	224	6180
35	226	6056
36	230	5989
37	232	5879
38	234	5767
39	235	5659
40	237	5557
41	239	5461
42	241	5376
43	244	5322
44	247	5242
45	248	5159
46	250	5079
47	252	5006
48	254	4934
49	256	4879
50	259	4826
51	261	4763
52	263	4701
53	264	4639
54	266	4585
55	268	4528
56	270	4480
57	273	4444
58	275	4397
59	277	4348
60	279	4306
61	281	4261
62	283	4219
63	287	4203
64	289	4164
65	291	4123
66	293	4085
67	295	4044
68	296	4005
69	298	3966
70	302	3954
71	304	3923
72	306	3888
73	308	3854
74	309	3820
75	311	3787
76	313	3754
77	316	3746
78	319	3720
79	321	3691
80	322	3662
81	324	3633
82	325	3596
83	327	3568
84	328	3541
85	332	3537
86	335	3522
87	337	3500
88	339	3478
89	341	3456
90	346	3456
91	348	3437
92	351	3425
93	353	3406
94	355	3385
95	361	3407
96	366	3413
97	369	3403
98	372	3394
99	379	3414
100	383	3410
101	386	3401
102	393	3425
103	396	3414
104	398	3400
105	400	3381
106	402	3362
107	408	3375
108	410	3356
109	426	3448
110	429	3437
111	431	3424
112	433	3405
113	438	3408
114	443	3410
115	445	3394
116	447	3373
117	449	3359
118	455	3369
119	457	3351
120	459	3337
121	461	3324
122	464	3310
123	469	3318
124	472	3304
125	475	3296
126	477	3279
127	479	3264
128	485	3278
129	487	3265
130	489	3248
131	491	3233
132	495	3231
133	499	3225
134	501	3210
135	503	3200
136	505	3185
137	512	3198
138	514	3188
139	519	3191
140	521	3178
141	526	3180
142	528	3170
143	531	3157
144	533	3143
145	535	3130
146	551	3202
147	556	3200
148	559	3193
149	562	3186
150	564	3173
151	566	3160
152	568	3146
153	574	3153
154	576	3143
155	579	3133
156	581	3120
157	583	3109
158	589	3117
159	591	3105
160	592	3088
161	594	3075
162	596	3063
163	599	3054
164	603	3051
165	605	3039
166	611	3049
167	616	3052
168	619	3044
169	621	3034
170	624	3026
171	626	3014
172	630	3014
173	633	3009
174	636	3002
175	638	2991
176	640	2980
177	642	2968
178	647	2968
179	650	2963
180	652	2953
181	654	2942
182	656	2931
183	663	2941
184	665	2933
185	667	2923
186	669	2912
187	674	2913
188	678	2911
189	680	2901
190	682	2890
191	684	2880
192	686	2872
193	691	2874
194	693	2864
195	695	2854
196	697	2844
197	700	2835
198	706	2844
199	708	2835
200	711	2827
201	713	2817
202	715	2808
203	721	2814
204	723	2806
205	725	2797
206	727	2787
207	729	2777
208	733	2776
209	736	2770
210	738	2761
211	740	2753
212	742	2743
213	744	2735
214	749	2734
215	751	2726
216	753	2718
217	754	2707
218	756	2698
219	758	2689
220	760	2680
221	764	2679
222	766	2671
223	769	2665
224	772	2659
225	774	2652
226	781	2660
227	783	2652
228	784	2642
229	786	2633
230	788	2624
231	790	2616
232	794	2613
233	796	2607
234	798	2598
235	800	2589
236	801	2581
237	803	2572
238	805	2563
239	808	2560
240	811	2554
241	813	2546
242	814	2538
243	816	2530
244	818	2521
245	820	2513
246	823	2511
247	826	2506
248	828	2499
249	830	2490
250	831	2482
251	833	2474
252	835	2466
253	839	2464
254	841	2457
255	843	2450
256	845	2443
257	847	2436
258	849	2429
259	851	2423
260	854	2420
261	857	2416
262	859	2409
263	861	2403
264	864	2396
265	865	2389
266	870	2390
267	872	2383
268	874	2377
269	876	2370
270	878	2363
271	880	2355
272	882	2350
273	885	2346
274	887	2340
275	889	2333
276	891	2326
277	892	2318
278	894	2311
279	898	2310
280	900	2304
281	902	2298
282	904	2291
283	906	2284
284	907	2277
285	909	2270
286	912	2267
287	915	2262
288	917	2256
289	918	2249
290	920	2243
291	922	2236
292	924	2230
293	926	2225
294	929	2220
295	931	2214
296	933	2208
297	935	2202
298	937	2197
299	939	2191
300	943	2190
301	945	2184
302	947	2179
303	949	2173
304	951	2167
305	952	2161
306	954	2155
307	958	2153
308	960	2148
309	962	2142
310	964	2135
311	966	2130
312	968	2125
313	970	2119
314	973	2117
315	975	2112
316	977	2106
317	980	2101
318	982	2097
319	984	2092
320	990	2095
321	993	2091
322	995	2086
323	997	2081
324	999	2076
325	1004	2076
326	1006	2071
327	1008	2066
328	1010	2060
329	1012	2055
330	1014	2049
331	1016	2044
332	1023	2049
333	1025	2044
334	1030	2045
335	1040	2056
336	1043	2053
337	1051	2059
338	1054	2056
339	1057	2052
340	1060	2050
341	1070	2058
342	1073	2055
343	1076	2052
344	1089	2068
345	1093	2065
346	1098	2066
347	1101	2063
348	1103	2058
349	1105	2052
350	1107	2047
351	1109	2043
352	1116	2046
353	1118	2040
354	1120	2036
355	1122	2030
356	1125	2026
357	1128	2023
358	1131	2020
359	1135	2018
360	1142	2021
361	1145	2018
362	1148	2014
363	1151	2011
364	1161	2020
365	1163	2016
366	1167	2013
367	1174	2016
368	1177	2014
369	1181	2012
370	1191	2019
371	1194	2016
372	1198	2014
373	1206	2019
374	1212	2020
375	1215	2016
376	1218	2013
377	1220	2008
378	1222	2003
379	1227	2002
380	1234	2006
381	1237	2002
382	1240	1998
383	1246	2000
384	1249	1995
385	1251	1990
386	1253	1985
387	1255	1980
388	1257	1975
389	1262	1975
390	1265	1970
391	1267	1965
392	1269	1960
393	1271	1955
394	1273	1949
395	1277	1948
396	1279	1943
397	1281	1938
398	1284	1934
399	1285	1928
400	1287	1923
401	1291	1921
402	1294	1917
403	1296	1913
404	1298	1908
405	1300	1902
406	1302	1897
407	1304	1892
408	1311	1895
409	1314	1890
410	1316	1886
411	1317	1880
412	1319	1875
413	1325	1876
414	1329	1873
415	1331	1869
416	1340	1874
417	1343	1871
418	1347	1867
419	1359	1878
420	1362	1873
421	1364	1868
422	1370	1869
423	1372	1864
424	1375	1860
425	1377	1855
426	1379	1851
427	1385	1851
428	1406	1872
429	1408	1867
430	1422	1878
431	1425	1874
432	1431	1874
433	1436	1874
434	1439	1869
435	1441	1864
436	1448	1865
437	1457	1869
438	1463	1869
439	1473	1874
440	1485	1882
441	1492	1883
442	1498	1883
443	1500	1879
444	1502	1873
445	1504	1868
446	1506	1863
447	1508	1858
448	1514	1858
449	1516	1853
450	1518	1848
451	1520	1843
452	1522	1838
453	1528	1838
454	1531	1834
455	1533	1829
456	1535	1824
457	1537	1819
458	1543	1818
459	1546	1815
460	1549	1811
461	1551	1806
462	1554	1802
463	1560	1803
464	1564	1799
465	1566	1795
466	1568	1790
467	1577	1793
468	1579	1788
469	1582	1784
470	1583	1779
471	1589	1778
472	1592	1774
473	1594	1769
474	1596	1764
475	1598	1760
476	1605	1759
477	1607	1755
478	1610	1751
479	1612	1746
480	1614	1741
481	1618	1738
482	1621	1735
483	1623	1730
484	1625	1725
485	1627	1721
486	1629	1716
487	1637	1718
488	1640	1714
489	1642	1710
490	1646	1706
491	1650	1704
492	1653	1700
493	1655	1696
494	1657	1691
495	1659	1686
496	1661	1681
497	1665	1679
498	1668	1674
499	1669	1669
500	1671	1665
501	1674	1660
502	1677	1657
503	1681	1655
504	1683	1650
505	1685	1645
506	1687	1641
507	1689	1636
508	1692	1632
509	1696	1629
510	1698	1625
511	1699	1620
512	1701	1615
513	1703	1610
514	1705	1605
515	1707	1601
516	1712	1600
517	1714	1595
518	1716	1591
519	1718	1586
520	1720	1581
521	1722	1576
522	1726	1574
523	1728	1570
524	1730	1565
525	1732	1561
526	1734	1556
527	1736	1552
528	1742	1551
529	1744	1547
530	1746	1542
531	1749	1538
532	1751	1534
533	1755	1531
534	1758	1528
535	1760	1523
536	1762	1519
537	1763	1514
538	1765	1510
539	1769	1506
540	1772	1504
541	1775	1500
542	1777	1495
543	1778	1491
544	1780	1486
545	1784	1483
546	1787	1480
547	1789	1476
548	1791	1471
549	1793	1467
550	1795	1462
551	1796	1458
552	1801	1456
553	1803	1452
554	1805	1447
555	1807	1443
556	1809	1438
